,,Name,Location,Cat ,Web
143,D-,Glucose-6-phosphate disodium salt hydrate,Back -20 663,100312,mpbio.com
144,D-,Glucuronic acid,Chemical drawer 663,G5269-10G,sigmaaldrich.com
145,L-,Glutamic acid,Chemicasl drawer 663,G1251-100G,sigmaaldrich.com
146,L-,Glutamic acid monosodium salt hydrate,Chemical cabinet 663,G1626-500G,sigmaaldrich.com
147,L-,Glutamine,Chemical drawer and fume hood 663,BP379-100,fishersci.com
148,,Glutaraldehyde solution,Back -20 663,G5882-100ML,sigmaaldrich.com
149,L-,Glutathione oxidized,Side -20 663,G4626-100MG,sigmaaldrich.com
150,L-,Glutathione reduced,Back -20 663,G4251-100G,sigmaaldrich.com
151,,Glycerol,Chemical cabinet and Armando's bench 663,G22020-1.0,rpicorp.com
152,B-,Glycerophosphate disodium salt hydrate,Chemical cabinet 663,C9422-100G,sigmaaldrich.com
153,,Glycine,Chemical cabinet Fume hood and large chemical cabinet 663,G7126-500G,sigmaaldrich.com
154,Ultra Pure,Guanidine hydrochloride,Chemical cabinet 663,15502-016,thermofisher.com
155,,Guanidine thiocyanate solution,Chemical drawer 663,50983-50ML,sigmaaldrich.com
156,,Guanine HCl,Chemical drawer 663,411120250,fishersci.com
157,,Guanosine 5'-[8-thio] triphosphate tetralithium salt,Chemical cabinet 663,G8634,sigmaaldrich.com
158,,Guanosine 5'-diphosphate,Side -20 663,G727-100MG,sigmaaldrich.com
159,,Guar gum,chemical cabinet,G9008-100G,aquasolutions.org
160,,Hemin,Fridge 663,H651-9,frontierscience.com
161,,HEPES,Chemical cabinet 663,H3375-100G,sigmaaldrich.com
162,,HEPES buffer,Fridge 663,H0887,sigmaaldrich.com
163,L-,Histidine,Chemical drawer and fume hood 663,A10413,alfa.com
164,,Hydroxylamine Hydrochloride,Chemical drawer 663,HX0770-2,emdmillipore.com
165,trans-4-,Hydroxyl-L-proline,Chemical drawer 663,121700250,fishersci.com
166,p-,Hydroxyphenyl Acetic acid,Chemical cabinet 663,H-4377,sigmaaldrich.com
167,,Hydroxyurea,Fridge 663,H8671G,sigmaaldrich.com
168,,Imidazole,Chemical cabinet 663,I0125-100G,sigmaaldrich.com
169,,Indomethacin,Chemical drawer 663,I7378-5G,sigmaaldrich.com
170,,Inosine,Chemical drawer 663,I4125-5G,sigmaaldrich.com
171,,Inulin,Chemical cabinet and fume hood 663,A18425,alfa.com
172,,Inulin from dahlia tubers,Chemical cabinet 663,13754-25G,sigmaaldrich.com
173,,Iodoacetamide,Fridge and side -20 663,16125-5G,sigmaaldrich.com
174,,Iron (II) chloride,Chemical drawer 663,372870-25,sigmaaldrich.com
175,,Iron (II) sulfate heptahydrate,Chemical cabinet 663,F7002-250G,sigmaaldrich.com
176,L-,Isoleucine,Chemical drawer 663,4160-100GM,emdmillipore.com
177,L,Isoleucine,Fume hood 663,I2752-25G,sigmaaldrich.com
178,,Isopropyl-B-D-Thiogalactopyranoside,Side -20 663,CI8280-13,denvillescientific.com
179,,Kanamycin sulfate,Chemical drawer and fridge 663,0408-10G,us.vwr.com
180,,Kasugamycin,Fridge 663,K-4013,sigmaaldrich.com
181,,Kethoxal,Side -20 663,17930,usbweb.com
182,L-(+)-,Lactic acid solution 30% in water by weight,Fridge 663,L1875-100ML,sigmaaldrich.com
183,,Lactobacilli MRS agar,Fridge 663 Fridge 607,7543B,hardydiagnostics.com
184,,Lactobacilli MRS broth,Fridge 663 Fridge 607,288110,bdbiosciences.com
185,,Lactose,Chemical cabinet 663,215620,bdbiosciences.com
186,,Lechithin,Jenny's bench 663,36486,alfa.com
187,L-,Leucine,Chemical drawer and fume hood 663,L8000-25G,sigmaaldrich.com
188,,Lincomycin HCl,Side -20 663,1657-1G,sigmaaldrich.com
189,(±)-?-,Lipoic acid,Chemical drawer 663,T5625-1G,sigmaaldrich.com
190,,Lithium acetate,Chemical cabinet 663,517992-100G,sigmaaldrich.com
191,,Lithium chloride,Chemical cabinet 663,2370-01,avantornic.com
192,Difco,Luria agar base Miller,Annie's bench 607,241320,bdbiociences.com
193,L,Lysine hydrate,Fume hood 663,282677-25G,sigmaaldrich.com
194,L(+)-,Lysine monohydrochloride,Chemical cabinet and drawer 663,125222500,fishersci.com
195,,Lysozyme,Back -20 663,L6876-1G,sigmaaldrich.com
196,,Lyticase from arthrobacter luteus,Fridge 663,L5163-25KG,sigmaaldrich.com
197,,M17 broth,Chemical cabinet 663,218561,bdbiosciences.com
198,,MacConkey agar,Chemical cabinet 663,212123,bdbiosciences.com
199,,MacConkey agar base,Chemical cabinet 663,281810,bdbiosciences.com
200,,MacConkey broth,Chemical cabinet 663,V343296,emdmillipore.com
201,,Magnesium acetate tetrahydrate,Chemical cabinet 663,M0631-200G,sigmaaldrich.com
202,,Magnesium chloride,Chemical cabinet 663,BPH0244-500G,us.vwr.com
203,,Magnesium sulfate,Chemcial cabinet 663,BP213-1,fisherci.com
204,,Magnesium sulfate heptahydrate,Chemical drawrer and fume hood 663,423900250,fishersci.com
205,,Malachite Green Oxalate Salt,Chemical drawer 663,M6880-25G,sigmaaldrich.com
206,,Maltodextrin,Chemical cabinet and Armondo's Bench 663,419672-100G,sigmaaldrich.com
207,D-(+),Maltose monohydrate,Chemical cabinet and fume hood 663,A16266,alfa.com
208,,Manganese (II) chloride tetrahydrate,Chemical cabinet 663,205895000,fishersci.com
209,,Manganese (II) sulfate monohydrate,Fridge 663,221287-100G,sigmaaldrich.com
210,,Manganese (II) sulfate tetrahydrate,Chemical cabinet and drawer 663,11596,alfa.com
211,D-,Mannitol,Large chemica cabinet 663,M4125-1KG,sigmaaldrich.com
212,D-(+),Mannose,Chemical drawer 663,M6020-25G,sigmaaldrich.com
213,,Meat extract ,Fume hood 663,70164-100G,sigmaaldrich.com
214,,Menadione,Chemical drawer and fume hood663,460-007-G010,enzolifesciences.com
215,2-,Mercaptoethanol,607 Fume hood,125470100,fishersci.com
216,,MES hydrate,Chemical cabinet 663,M8250-250G,sigmaaldrich.com
217,,Methanol,Fridge 607,A402-1,fishersci.com
218,L-,Methionine,Chemical cabinet drawer Fume hood and Fridge 663,BP388-100,fishersci.com
219,,Methyl-a-D-glucopyranoside,Chemical cabinet 663,M9376-100G,sigmaaldrich.com
220,4-,Methylumbelliferyl-?-D-glucuronide,Fridge 663,M9130-25MG,sigmaadrich.com
221,,Metronidazole,Fridge 663,210340050,fishersci.com
222,,Minimal salts 5x,Chemical cabinet 663,248510,bdbiosciencs.com
223,,MOPS,Annie's bench 607,M1234-250G,sigmaaldrich.com
224,,Mucic acid,Fume hood 663,M89617-100G,sigmaaldrich.com
225,,Mucin from porcine stomach,Fridge 663,M2378-100G,sigmaaldrich.com
226,,Muscimol,Fridge 663,M1523-5MG,sigmaaldrich.com
227,,Nalidixic Acid,Chemical drawer 663,N8878-5G,sigmaaldrich.com
228,,Nalidixic acid sodium salt,Chemical drawer 663,N4382-5G,sigmaaldrich.com
229,,Neutralization buffer,Fridge 663,D4036-240,zhymoreresearch.com
230,,Nickel (II) chloride,Chemical drawer 663,223387-25G,sigmaaldrich.com
231,,Nicotinamide,Chemical cabinet 663,N0636-100G,sigmaaldrich.com
232,,Nicotinic acid,Chemical drawer 663,128290050,fishersci.com
233,,Nisin from Lactococcus lactis,Fridge 663,N5764-5G,sigmaaldrich.com
234,,Nitrilotriacetic acid,Chemical cabinet 663 ,A11936,alfa.com
235,2-,Nitrophenyl ?-D galactopyranoside,Side -20 663,N1127-25MG,sigmaaldrich.com
236,4-,Nitrophenyl-?-D glucoranide,Side -20 663,N1627-250MG,sigmaaldrich.com
237,,Novobiocin sodium salt,Fridge 663,491207,calbiochem.com
238,,Nutrient broth Difco 234000,Chemical cabinet 663,234000,bdbiosciences.com
239,,N?-p-Tosyl-L-arginine methyl ester hydrochloride,Side -20 663,T4626-5G,sigmaaldrich.com
240,,Ofloxacin,Fridge 663,O87571G,sigmaaldrich.com
241,,Oleic acid,Fume hood 661,O0180,tcichemicals.com
242,,Orotic Acid,Chemical cabinet and drawer 663,02575-100G,sigmaaldrich.com
243,,Palmitic acid,chemical drawer 663,P0500-10G,sigmaaldrich.com
244,,Pancreatin from porcine pancreas,Side -20 663,T626-5G,sigmaaldrich.com
245,(+),Pantothenic Acid Calcium Salt Hydrate,chemical drawer 663,259721-5G,sigmaaldrich.com
246,D-,Pantothenic Acid Hemi-Calcium salt,Fridge 663,P-2250,sigmaaldrich.com
247,,Pectin from apple,chemical drawer 663,76282-100G,sigmaaldrich.com
248,,Pepsin from porcine gastric mucsa,Side -20 663,P6887-1G,sigmaaldrich.com
249,Special,Peptone,Chemical cabinet 663,LP0072,thermofisher.com
250,,Peptone 140,Chemical cabinet 663,J849-500G,us.vwr.com
251,,Peptone from casein pancreatic digest,Chemical cabinet and Armando's bench 663,70169-500G,sigmaaldrich.com
252,110-,Phenanthroline,Chemical drawer 663,131377-5G,simgaaldrich.com
253,L-,Phenylalanine,Chemical cabinet and drawer and fume hoof 663,BP391-100,fishersci.com
254,,Polyethylene glycol,Chemical cabinet 663,P5402-500G,sigmaaldrich.com
255,,Polygalacturonic acid 25g,Chemical drawer 663,L04206,alfa.com
256,,Ponceau S,Chemical drawer 663,P3504-10G,sigmaaldrich.com
257,,Potassium acetate,Chemical cabinet 663,BP364-500,fishersci.com
258,,Potassium carbonate,Chemical cabinet 663,209619-500G,sigmaaldrich.com
259,,Potassium chloride,Chemical cabinet 663,P5605-500G,sigmaaldrich.com
260,,Potassium cyanide,Chemical drawer 663,60178-52G,sigmaaldrich.com
261,,Potassium hydroxide,Chemical cabinet 663,314-01,avantornic.com
262,,Potassium phosphate dibasic K2HPO4,Chemical cabinet and fume hood 663,0705-500G,us.vwr.com
