ID,,Name,Location,Cat ,Web
577,L-,Leucine,Chemical drawer and fume hood 663,L8000-25G,sigmaaldrich.com
578,,Lincomycin HCl,Side -20 663,1657-1G,sigmaaldrich.com
579,(±)-α-,Lipoic acid,Chemical drawer 663,T5625-1G,sigmaaldrich.com
580,,Lithium acetate,Chemical cabinet 663,517992-100G,sigmaaldrich.com
581,,Lithium chloride,Chemical cabinet 663,2370-01,avantornic.com
582,Difco,Luria agar base miller,Annie's bench 607,241320,bdbiociences.com
583,L,Lysine hydrate,Fume hood 663,282677-25G,sigmaaldrich.com
584,L(+)-,Lysine monohydrochloride,Chemical cabinet and drawer 663,125222500,fishersci.com
585,,Lysozyme,Back -20 663,L6876-1G,sigmaaldrich.com
586,,Lyticase from arthrobacter luteus,Fridge 663,L5163-25KG,sigmaaldrich.com
587,,M17 broth,Chemical cabinet 663,218561,bdbiosciences.com
588,,MacConkey agar,Chemical cabinet 663,212123,bdbiosciences.com
589,,MacConkey agar base,Chemical cabinet 663,281810,bdbiosciences.com
590,,MacConkey broth,Chemical cabinet 663,V343296,emdmillipore.com
591,,Magnesium acetate tetrahydrate,Chemical cabinet 663,M0631-200G,sigmaaldrich.com
592,,Magnesium chloride,Chemical cabinet 663,BPH0244-500G,us.vwr.com
593,,Magnesium sulfate,Chemcial cabinet 663,BP213-1,fisherci.com
594,,Magnesium sulfate heptahydrate,Chemical drawrer and fume hood 663,423900250,fishersci.com
595,,Malachite green oxalate salt,Chemical drawer 663,M6880-25G,sigmaaldrich.com
596,,Maltodextrin,Chemical cabinet and Armondo's Bench 663,419672-100G,sigmaaldrich.com
597,D-(+),Maltose monohydrate,Chemical cabinet and fume hood 663,A16266,alfa.com
598,,Manganese (II) chloride tetrahydrate,Chemical cabinet 663,205895000,fishersci.com
599,,Manganese (II) sulfate monohydrate,Fridge 663,221287-100G,sigmaaldrich.com
600,,Manganese (II) sulfate tetrahydrate,Chemical cabinet and drawer 663,11596,alfa.com
601,D-,Mannitol,Large chemica cabinet 663,M4125-1KG,sigmaaldrich.com
602,D-(+),Mannose,Chemical drawer 663,M6020-25G,sigmaaldrich.com
603,,Meat extract ,Fume hood 663,70164-100G,sigmaaldrich.com
604,,Menadione,Chemical drawer and fume hood663,460-007-G010,enzolifesciences.com
605,2-,Mercaptoethanol,607 Fume hood,125470100,fishersci.com
606,,MES hydrate,Chemical cabinet 663,M8250-250G,sigmaaldrich.com
607,,Methanol,Fridge 607,A402-1,fishersci.com
608,L-,Methionine,Chemical cabinet drawer Fume hood and Fridge 663,BP388-100,fishersci.com
609,,Methyl a D glucopyranoside,Chemical cabinet 663,M9376-100G,sigmaaldrich.com
610,4-,Methylumbelliferyl beta D glucuronide,Fridge 663,M9130-25MG,sigmaadrich.com
611,,Metronidazole,Fridge 663,210340050,fishersci.com
612,,Minimal salts 5x,Chemical cabinet 663,248510,bdbiosciencs.com
613,,MOPS,Annie's bench 607,M1234-250G,sigmaaldrich.com
614,,Mucic acid,Fume hood 663,M89617-100G,sigmaaldrich.com
615,,Mucin from porcine stomach,Fridge 663,M2378-100G,sigmaaldrich.com
616,,Muscimol,Fridge 663,M1523-5MG,sigmaaldrich.com
617,,Nalidixic acid,Chemical drawer 663,N8878-5G,sigmaaldrich.com
618,,Nalidixic acid sodium salt,Chemical drawer 663,N4382-5G,sigmaaldrich.com
619,,Neutralization buffer,Fridge 663,D4036-240,zhymoreresearch.com
620,,Nickel (II) chloride,Chemical drawer 663,223387-25G,sigmaaldrich.com
621,,Nicotinamide,Chemical cabinet 663,N0636-100G,sigmaaldrich.com
622,,Nicotinic acid,Chemical drawer 663,128290050,fishersci.com
623,,Nisin from lactococcus lactis,Fridge 663,N5764-5G,sigmaaldrich.com
624,,Nitrilotriacetic acid,Chemical cabinet 663 ,A11936,alfa.com
625,2-,Nitrophenyl beta D galactopyranoside,Side -20 663,N1127-25MG,sigmaaldrich.com
626,4-,Nitrophenyl beta D glucoranide,Side -20 663,N1627-250MG,sigmaaldrich.com
627,,Novobiocin sodium salt,Fridge 663,491207,calbiochem.com
628,,Nutrient broth difco,Chemical cabinet 663,234000,bdbiosciences.com
629,N-alpha-p-tosyl-L-,Arginine methyl ester hydrochloride,Side -20 663,T4626-5G,sigmaaldrich.com
630,,Ofloxacin,Fridge 663,O87571G,sigmaaldrich.com
631,,Oleic acid,Fume hood 661,O0180,tcichemicals.com
632,,Orotic acid,Chemical cabinet and drawer 663,02575-100G,sigmaaldrich.com
633,,Palmitic acid,chemical drawer 663,P0500-10G,sigmaaldrich.com
634,,Pancreatin from porcine pancreas,Side -20 663,T626-5G,sigmaaldrich.com
635,(+),Pantothenic acid calcium salt hydrate,chemical drawer 663,259721-5G,sigmaaldrich.com
636,D-,Pantothenic acid hemi calcium salt,Fridge 663,P-2250,sigmaaldrich.com
637,,Pectin from apple,chemical drawer 663,76282-100G,sigmaaldrich.com
638,,Pepsin from porcine gastric mucsa,Side -20 663,P6887-1G,sigmaaldrich.com
639,,Peptone 140,Chemical cabinet 663,J849-500G,us.vwr.com
640,,Peptone from casein pancreatic digest,Chemical cabinet and Armando's bench 663,70169-500G,sigmaaldrich.com
641,110-,Phenanthroline,Chemical drawer 663,131377-5G,simgaaldrich.com
642,L-,Phenylalanine,Chemical cabinet and drawer and fume hoof 663,BP391-100,fishersci.com
643,,Polyethylene glycol,Chemical cabinet 663,P5402-500G,sigmaaldrich.com
644,,Polygalacturonic acid ,Chemical drawer 663,L04206,alfa.com
645,,Ponceau S,Chemical drawer 663,P3504-10G,sigmaaldrich.com
646,,Potassium acetate,Chemical cabinet 663,BP364-500,fishersci.com
647,,Potassium carbonate,Chemical cabinet 663,209619-500G,sigmaaldrich.com
648,,Potassium chloride,Chemical cabinet 663,P5605-500G,sigmaaldrich.com
649,,Potassium cyanide,Chemical drawer 663,60178-52G,sigmaaldrich.com
650,,Potassium hydroxide,Chemical cabinet 663,314-01,avantornic.com
651,,Potassium phosphate dibasic,Chemical cabinet and fume hood 663,0705-500G,us.vwr.com
652,,Potassium phosphate monobasic,Chemical cabinet and fume hood 663,BP362-500,fishersci.com
653,,Potassium tetraborate tetrahydrate,Chemical cabinet 663,39435,alfa.com
654,,Potassium L aspartate,Chemical cabinet 663,P22450,pfaltzandbauer.com
655,,Potato dextrose agar,Chemical cabinet 663,P2182-250G,sigmaaldrich.com
656,,Power bead solution,Jenny's bench 663,157033243,qiagen.com
657,L-,Proline,Chemical drawer and fume hood 663,P0380-100G,sigmaaldrich.com
658,,Proteinase K,Side -20 663,P2038-100MG,sigmaaldrich.com
659,,Proteose peptone number 3 bacto,Chemical cabinet 663,211693500G,bdbiosciences.com
660,,Pyridoxal 5 phosphate,Side -20 663,P9255-5G,sigmaaldrich.com
661,,Pyridoxal HCl,Side -20 663,P6155-5G,sigmaaldrich.com
662,,Pyridoxamine dihydrochloride,Chemical drawer 663,P9380-1G,sigmaaldrich.com
663,,Pyridoxine HCl,Chemical drawer 663,P-9755,sigmaaldrich.com
664,,Quercentin dihyrdrate,Chemical drawer 663,21000,usbweb.com
665,D-(+),Raffinose pentahydrate,Chemical cabinet 663,R0250-25G,sigmaaldrich.com
666,,Reinforced clostridial medium,Chemical cabinet 663,218081,bdbiosciences.com
667,,Resazurin sodium salt,Chemical drawer 663,R7017-1G,sigmaaldrich.com
668,(-),Riboflavin,Chemical cabinet fume hood 663,P9504-25G,sigmaaldrich.com
669,,Riboflavin 5 phosphate sodium salt hydrate,Side -20 663,R7704-25G,sigmaaldrich.com
670,D-(-),Ribose,Chemical drawer 663,R9629-25G,sigmaaldrich.com
671,,Rifampicin,Side -20 663,R3501-5G,sigmaaldrich.com
672,,Rubidium chloride,Chemical drawer and fridge 663,12892,alfa.com
673,,Saccarin sodium,Chemical cabinet 663,S394-500,fishersci.com
674,L-,Serine,Chemical drawer and fume hood 663,S4500-100G,sigmaaldrich.com
675,DL-,Serine hydroxamate,Side -20 663,S4503-250MG,sigmaaldrich.com
676,,Silver sulfate,Chemical drawer 663,11417,alfa.com
677,,Skim milk,Fridge 663,6342932,bdbiosciences.com
678,,SOB medium,Annie's bench 607,244310,bdbiosciences.com
679,,Sodium acetate anhydrous,Chemical cabinet 663,A13184,alfa.com
680,,Sodium azide,Chemical cabinet and drawer 663,S5761-500G,sigmaaldrich.com
681,,Sodium bicarbonate,Chemical cabinet Fume hood Large chemical cabinet and Armando's bench 663,BP357-1,fishersci.com
682,,Sodium chloride,Chemical cabinet Fume hood and large chemical cabinet 663 and Annie's bench 607,S7653-1KG,sigmaadrich.com
683,,Sodium chloride crystal,Annie's bench 607,3654-05,avantornic.com
684,,Sodium citrate dihydrate,Chemical cabinet 663,3646-01,avantornic.com
685,,Sodium deoxycholate,Chemical drawer 663,D6750-25G,sigmaadrich.com
686,,Sodium dodecyl sulfate (SDS),Chemical cabinet and large cabinet 663,BP166-500,fishersci.com
687,,Sodium fluoride,Chemical cabinet 663,11561,alfa.com
688,,Sodium formate,Chemical cabinet and drawer 663,71539,sigmaadrich.com
689,,Sodium glycochenodeoxycholate,Chemical drawer 663,G0759-500MG,alfa.com
690,,Sodium glycocholate hydrate,Chemical drawer 663,G7132-1G,sigmaaldrich.com
691,,Sodium glycodeoxycholate,Chemical drawer 663,G9910-1G,sigmaaldrich.com
692,,Sodium hydroxide,Large chemical cabinet 663,7708.06,avantormaterials.com
693,,Sodium L tartrate dibasic dihydrate,Chemical cabinet 663,33242,alfa.com
694,,Sodium molybdate dihydrate,Chemical drawer 663,331058-5G,sigmaaldrich.com
695,,Sodium nitrate,Chemical cabinet 663,S343-500,fishersci.com
696,,Sodium nitrite,Chemical cabinet 663,237213-100G,sigmaaldrich.com
697,,Sodium n octyl sulfate,Chemical drawer 663,A11786,alfa.com
698,1-4,Sodium phosphate dibasic anhydrous,Chemical cabinet 663,3828-01,avantornic.com
699,,Sodium phosphate monobasic monohydrate,Large chemical cabinet and chemical 663,0832-1KG,us.vwr.com
700,,Sodium polyphosphate,Chemical cabinet 663,390432500,fishersci.com
701,,Sodium pyrophosphate 10 hydrate,Chemical cabinet 663,3850-0,avantornic.com
702,,Sodium selenite,Chemical drawer 663,S5261-10G,sigmaaldrich.com
703,,Sodium succinate dibasic hexahydrate,Chemical cabinet 663,S2378-100G,sigmaaldrich.com
704,,Sodium sulfate ,Fume hood 663,239313-500G,sigmaaldrich.com
705,,Sodium sulfide nonahydrate,Fridge 663,208043-5G,sigmaaldrich.com
706,,Sodium sulfite anhydrous,Chemical cabinet 663,71989,sigmaaldrich.com
707,,Sodium taurochenodeoxycholate,Chemical drawer 663,T6260-250MG,sigmaaldrich.com
708,,Sodium taurochenodeoxycholate hydrate,Chemical drawer 663,T0875-1G,sigmaaldrich.com
709,,Sodium taurocholate,Chemical cabinet 663,CR011-500G,himedialabs.com
710,,Sodium taurodeoxycholate ,Chemical drawer 663,T6260-1G,sigmaaldrich.com
711,,Sodium tetraborate decahydrate,Large chemical cabinet 663,B9876-1KG,sigmaaldrich.com
712,,Sodium thioglycolate,Back -20 663,T0632-25G,sigmaaldrich.com
713,,Sodium tungstate dihydrate,Chemical drawer 663,14304-100G,sigmaaldrich.com
714,,Solution C1,Jenny's bench 663,157030108,qiagen.com
715,,Solution C2,Jenny's bench 663,157026483,qiagen.com
716,,Solution C4,Jenny's bench 663,157027379,qiagen.com
717,,Solution C5,Jenny's bench 663,R1663,mobio.com
718,,Solution C6,Jenny's bench 663,157026428,qiagen.com
719,D-,Sorbitol,Chemical cabinet 663,S3889-500G,sigmaaldrich.com
720,,Special peptone,Chemical cabinet 663,LP0072,thermofisher.com
721,,Spectinomycin dihydrochloride pentahydrate,Fridge 663,152067,mpbio.com
722,,Staphlococcus agar number 110,Large chemical cabinet 663,M156-2.5KG,himedialabs.com
723,,Starch,Chemcial cabinet and fume hood 663,S9765-100G,sigmaaldrich.com
724,,Steric acid,Jenny's bench 663,A12244,alfa.com
725,,Streptomycin sulfate salt,Fridge 663,S6501-25G,sigmaaldrich.com
726,,Succinic acid,Chemical cabinet 663,S-9512,sigmaaldrich.com
727,,Sucralose,Chemical cabinet 663,S3437,spectrumchemical.com
728,,Sucrose,Chemical cabinet 663,177140010,fishersci.com
729,,Sulfanilamide,Chemical cabinet 663,S9251-100G,sigmaaldrich.com
730,,Taurine,Chemical cabinet 663,T0625-100G,sigmaaldrich.com
731,,Taurocholic acid sodium salt hydrate,Chemical cabinet 663,4009-100G,sigmaaldrich.com
732,,TC lactalbumin hydrolysate,Armando's bench 663,259962,bdbiosciences.com
733,,Terrific broth,Chemical cabinet 663,BP2468-100,fishersci.com
734,,Tertradecanoic acid,Jenny's bench 663,A12067,alfa.com
735,,Tetraacetic acid,Chemical cabinet 663,02783-100,fishersci.com
736,,Tetrachloroisophthalonitrile,Jeff 607,1897-45-6,sigmaaldrich.com
737,,Tetracycline hydrochloride,Chemical drawer and back -20 663,58346,emdmillipore.com
738,,Thermolysin,Side -20 663,P1512-25MG,sigmaaldrich.com
739,,Thiamine hydrochloride,Chemical cabinet 663,Bp92-100,fishersci.com
740,,Thiamine hydrochloride hydrate,Fume hood 663,T0181,tcichemicals.com
