ID,,Name,Location,Cat #,Web
284,,Lechithin,Jenny's bench 663,36486,alfa.com
285,L-,Leucine,Chemical drawer and fume hood 663,L8000-25G,sigmaaldrich.com
286,,Lincomycin HCl,Side -20 663,1657-1G,sigmaaldrich.com
287,(±)-α-,Lipoic acid,Chemical drawer 663,T5625-1G,sigmaaldrich.com
288,,Lithium acetate,Chemical cabinet 663,517992-100G,sigmaaldrich.com
289,,Lithium chloride,Chemical cabinet 663,2370-01,avantornic.com
290,Difco,Luria agar base Miller,Annie's bench 607,241320,bdbiociences.com
291,L,Lysine hydrate,Fume hood 663,282677-25G,sigmaaldrich.com
292,L(+)-,Lysine monohydrochloride,Chemical cabinet and drawer 663,125222500,fishersci.com
293,,Lysozyme,Back -20 663,L6876-1G,sigmaaldrich.com
294,,Lyticase from arthrobacter luteus,Fridge 663,L5163-25KG,sigmaaldrich.com
295,,M17 broth,Chemical cabinet 663,218561,bdbiosciences.com
296,,MacConkey agar,Chemical cabinet 663,212123,bdbiosciences.com
297,,MacConkey agar base,Chemical cabinet 663,281810,bdbiosciences.com
298,,MacConkey broth,Chemical cabinet 663,V343296,emdmillipore.com
299,,Magnesium acetate tetrahydrate,Chemical cabinet 663,M0631-200G,sigmaaldrich.com
300,,Magnesium chloride,Chemical cabinet 663,BPH0244-500G,us.vwr.com
301,,Magnesium sulfate,Chemcial cabinet 663,BP213-1,fisherci.com
302,,Magnesium sulfate heptahydrate,Chemical drawrer and fume hood 663,423900250,fishersci.com
303,,Malachite Green Oxalate Salt,Chemical drawer 663,M6880-25G,sigmaaldrich.com
304,,Maltodextrin,Chemical cabinet and Armondo's Bench 663,419672-100G,sigmaaldrich.com
305,D-(+),Maltose monohydrate,Chemical cabinet and fume hood 663,A16266,alfa.com
306,,Manganese (II) chloride tetrahydrate,Chemical cabinet 663,205895000,fishersci.com
307,,Manganese (II) sulfate monohydrate,Fridge 663,221287-100G,sigmaaldrich.com
308,,Manganese (II) sulfate tetrahydrate,Chemical cabinet and drawer 663,11596,alfa.com
309,D-,Mannitol,Large chemica cabinet 663,M4125-1KG,sigmaaldrich.com
310,D-(+),Mannose,Chemical drawer 663,M6020-25G,sigmaaldrich.com
311,,Meat extract ,Fume hood 663,70164-100G,sigmaaldrich.com
312,,Menadione,Chemical drawer and fume hood663,460-007-G010,enzolifesciences.com
313,2-,Mercaptoethanol,607 Fume hood,125470100,fishersci.com
314,,MES hydrate,Chemical cabinet 663,M8250-250G,sigmaaldrich.com
315,,Methanol,Fridge 607,A402-1,fishersci.com
316,L-,Methionine,Chemical cabinet drawer Fume hood and Fridge 663,BP388-100,fishersci.com
317,,Methyl-a-D-glucopyranoside,Chemical cabinet 663,M9376-100G,sigmaaldrich.com
318,4-,Methylumbelliferyl-β-D-glucuronide,Fridge 663,M9130-25MG,sigmaadrich.com
319,,Metronidazole,Fridge 663,210340050,fishersci.com
320,,Minimal salts 5x,Chemical cabinet 663,248510,bdbiosciencs.com
321,,MOPS,Annie's bench 607,M1234-250G,sigmaaldrich.com
322,,Mucic acid,Fume hood 663,M89617-100G,sigmaaldrich.com
323,,Mucin from porcine stomach,Fridge 663,M2378-100G,sigmaaldrich.com
324,,Muscimol,Fridge 663,M1523-5MG,sigmaaldrich.com
325,,Nalidixic Acid,Chemical drawer 663,N8878-5G,sigmaaldrich.com
326,,Nalidixic acid sodium salt,Chemical drawer 663,N4382-5G,sigmaaldrich.com
327,,Neutralization buffer,Fridge 663,D4036-240,zhymoreresearch.com
328,,Nickel (II) chloride,Chemical drawer 663,223387-25G,sigmaaldrich.com
329,,Nicotinamide,Chemical cabinet 663,N0636-100G,sigmaaldrich.com
330,,Nicotinic acid,Chemical drawer 663,128290050,fishersci.com
331,,Nisin from Lactococcus lactis,Fridge 663,N5764-5G,sigmaaldrich.com
332,,Nitrilotriacetic acid,Chemical cabinet 663 ,A11936,alfa.com
333,2-,Nitrophenyl β-D galactopyranoside,Side -20 663,N1127-25MG,sigmaaldrich.com
334,4-,Nitrophenyl-β-D glucoranide,Side -20 663,N1627-250MG,sigmaaldrich.com
335,,Novobiocin sodium salt,Fridge 663,491207,calbiochem.com
336,,Nutrient broth Difco,Chemical cabinet 663,234000,bdbiosciences.com
337,,Nα-p-Tosyl-L-arginine methyl ester hydrochloride,Side -20 663,T4626-5G,sigmaaldrich.com
338,,Ofloxacin,Fridge 663,O87571G,sigmaaldrich.com
339,,Oleic acid,Fume hood 661,O0180,tcichemicals.com
340,,Orotic Acid,Chemical cabinet and drawer 663,02575-100G,sigmaaldrich.com
341,,Palmitic acid,chemical drawer 663,P0500-10G,sigmaaldrich.com
342,,Pancreatin from porcine pancreas,Side -20 663,T626-5G,sigmaaldrich.com
343,(+),Pantothenic Acid Calcium Salt Hydrate,chemical drawer 663,259721-5G,sigmaaldrich.com
344,D-,Pantothenic Acid Hemi-Calcium salt,Fridge 663,P-2250,sigmaaldrich.com
345,,Pectin from apple,chemical drawer 663,76282-100G,sigmaaldrich.com
346,,Pepsin from porcine gastric mucsa,Side -20 663,P6887-1G,sigmaaldrich.com
347,Special,Peptone,Chemical cabinet 663,LP0072,thermofisher.com
348,,Peptone 140,Chemical cabinet 663,J849-500G,us.vwr.com
349,,Peptone from casein pancreatic digest,Chemical cabinet and Armando's bench 663,70169-500G,sigmaaldrich.com
350,110-,Phenanthroline,Chemical drawer 663,131377-5G,simgaaldrich.com
351,L-,Phenylalanine,Chemical cabinet and drawer and fume hoof 663,BP391-100,fishersci.com
352,,Polyethylene glycol,Chemical cabinet 663,P5402-500G,sigmaaldrich.com
353,,Polygalacturonic acid 25g,Chemical drawer 663,L04206,alfa.com
354,,Ponceau S,Chemical drawer 663,P3504-10G,sigmaaldrich.com
355,,Potassium acetate,Chemical cabinet 663,BP364-500,fishersci.com
356,,Potassium carbonate,Chemical cabinet 663,209619-500G,sigmaaldrich.com
357,,Potassium chloride,Chemical cabinet 663,P5605-500G,sigmaaldrich.com
358,,Potassium cyanide,Chemical drawer 663,60178-52G,sigmaaldrich.com
359,,Potassium hydroxide,Chemical cabinet 663,314-01,avantornic.com
360,,Potassium phosphate dibasic K2HPO4,Chemical cabinet and fume hood 663,0705-500G,us.vwr.com
361,,Potassium phosphate monobasic KH2PO4,Chemical cabinet and fume hood 663,BP362-500,fishersci.com
362,,Potassium tetraborate tetrahydrate,Chemical cabinet 663,39435,alfa.com
363,,Potassium-L-aspartate,Chemical cabinet 663,P22450,pfaltzandbauer.com
364,,Potato dextrose agar,Chemical cabinet 663,P2182-250G,sigmaaldrich.com
365,,Power bead solution,Jenny's bench 663,157033243,qiagen.com
366,L-,Proline,Chemical drawer and fume hood 663,P0380-100G,sigmaaldrich.com
367,,Proteinase K,Side -20 663,P2038-100MG,sigmaaldrich.com
368,,Proteose peptone no.3 bacto,Chemical cabinet 663,211693500G,bdbiosciences.com
369,,Pyridoxal 5'-phosphate,Side -20 663,P9255-5G,sigmaaldrich.com
370,,Pyridoxal HCl,Side -20 663,P6155-5G,sigmaaldrich.com
371,,Pyridoxamine dihydrochloride,Chemical drawer 663,P9380-1G,sigmaaldrich.com
372,,Pyridoxine HCl,Chemical drawer 663,P-9755,sigmaaldrich.com
373,,Quercentin Dihyrdrate,Chemical drawer 663,21000,usbweb.com
374,D-(+),Raffinose pentahydrate,Chemical cabinet 663,R0250-25G,sigmaaldrich.com
375,,Reinforced clostridial medium,Chemical cabinet 663,218081,bdbiosciences.com
376,,Resazurin sodoim salt,Chemical drawer 663,R7017-1G,sigmaaldrich.com
377,(-),Riboflavin,Chemical cabinet fume hood 663,P9504-25G,sigmaaldrich.com
378,,Riboflavin 5'-phosphate sodium salt hydrate,Side -20 663,R7704-25G,sigmaaldrich.com
379,D-(-),Ribose,Chemical drawer 663,R9629-25G,sigmaaldrich.com
380,,Rifampicin,Side -20 663,R3501-5G,sigmaaldrich.com
381,,Rubidium chloride,Chemical drawer and fridge 663,12892,alfa.com
382,,Saccarin sodium,Chemical cabinet 663,S394-500,fishersci.com
383,L-,Serine,Chemical drawer and fume hood 663,S4500-100G,sigmaaldrich.com
384,DL-,Serine hydroxamate,Side -20 663,S4503-250MG,sigmaaldrich.com
385,,Silver sulfate,Chemical drawer 663,11417,alfa.com
386,,Skim milk,Fridge 663,6342932,bdbiosciences.com
387,,SOB medium,Annie's bench 607,244310,bdbiosciences.com
388,,Sodium acetate anhydrous,Chemical cabinet 663,A13184,alfa.com
389,,Sodium azide,Chemical cabinet and drawer 663,S5761-500G,sigmaaldrich.com
390,,Sodium bicarbonate,Chemical cabinet Fume hood Large chemical cabinet and Armando's bench 663,BP357-1,fishersci.com
391,,Sodium chloride,Chemical cabinet Fume hood and large chemical cabinet 663,S7653-1KG,sigmaadrich.com
392,,Sodium chloride crystal,Annie's bench 607,3654-05,avantornic.com
393,,Sodium citrate dihydrate,Chemical cabinet 663,3646-01,avantornic.com
394,,Sodium Deoxycholate,Chemical drawer 663,D6750-25G,sigmaadrich.com
