ID,Name,Cat ,Web
154,Guanidine hydrochloride,15502-016,thermofisher.com
155,Guanidine thiocyanate solution,50983-50ML,sigmaaldrich.com
156,Guanine HCl,411120250,fishersci.com
157,Guanosine 5'-[8-thio] triphosphate tetralithium salt,G8634,sigmaaldrich.com
158,Guanosine 5'-diphosphate,G727-100MG,sigmaaldrich.com
159,Guar gum,G9008-100G,aquasolutions.org
160,Hemin,H651-9,frontierscience.com
161,HEPES,H3375-100G,sigmaaldrich.com
162,HEPES buffer,H0887,sigmaaldrich.com
163,Histidine,A10413,alfa.com
164,Hydroxylamine Hydrochloride,HX0770-2,emdmillipore.com
165,Hydroxyl-L-proline,121700250,fishersci.com
166,Hydroxyphenyl Acetic acid,H-4377,sigmaaldrich.com
167,Hydroxyurea,H8671G,sigmaaldrich.com
168,Imidazole,I0125-100G,sigmaaldrich.com
169,Indomethacin,I7378-5G,sigmaaldrich.com
170,Inosine,I4125-5G,sigmaaldrich.com
171,Inulin,A18425,alfa.com
172,Inulin from dahlia tubers,13754-25G,sigmaaldrich.com
173,Iodoacetamide,16125-5G,sigmaaldrich.com
174,Iron (II) chloride,372870-25,sigmaaldrich.com
175,Iron (II) sulfate heptahydrate,F7002-250G,sigmaaldrich.com
176,Isoleucine,4160-100GM,emdmillipore.com
177,Isoleucine,I2752-25G,sigmaaldrich.com
178,Isopropyl-B-D-Thiogalactopyranoside,CI8280-13,denvillescientific.com
179,Kanamycin sulfate,0408-10G,us.vwr.com
180,Kasugamycin,K-4013,sigmaaldrich.com
181,Kethoxal,17930,usbweb.com
182,Lactic acid solution 30% in water by weight,L1875-100ML,sigmaaldrich.com
183,Lactobacilli MRS agar,7543B,hardydiagnostics.com
184,Lactobacilli MRS broth,288110,bdbiosciences.com
185,Lactose,215620,bdbiosciences.com
186,Lechithin,36486,alfa.com
187,Leucine,L8000-25G,sigmaaldrich.com
188,Lincomycin HCl,1657-1G,sigmaaldrich.com
189,Lipoic acid,T5625-1G,sigmaaldrich.com
190,Lithium acetate,517992-100G,sigmaaldrich.com
191,Lithium chloride,2370-01,avantornic.com
192,Luria agar base Miller,241320,bdbiociences.com
193,Lysine hydrate,282677-25G,sigmaaldrich.com
194,Lysine monohydrochloride,125222500,fishersci.com
195,Lysozyme,L6876-1G,sigmaaldrich.com
196,Lyticase from arthrobacter luteus,L5163-25KG,sigmaaldrich.com
197,M17 broth,218561,bdbiosciences.com
198,MacConkey agar,212123,bdbiosciences.com
199,MacConkey agar base,281810,bdbiosciences.com
200,MacConkey broth,V343296,emdmillipore.com
201,Magnesium acetate tetrahydrate,M0631-200G,sigmaaldrich.com
202,Magnesium chloride,BPH0244-500G,us.vwr.com
203,Magnesium sulfate,BP213-1,fisherci.com
204,Magnesium sulfate heptahydrate,423900250,fishersci.com
205,Malachite Green Oxalate Salt,M6880-25G,sigmaaldrich.com
206,Maltodextrin,419672-100G,sigmaaldrich.com
207,Maltose monohydrate,A16266,alfa.com
208,Manganese (II) chloride tetrahydrate,205895000,fishersci.com
209,Manganese (II) sulfate monohydrate,221287-100G,sigmaaldrich.com
210,Manganese (II) sulfate tetrahydrate,11596,alfa.com
211,Mannitol,M4125-1KG,sigmaaldrich.com
212,Mannose,M6020-25G,sigmaaldrich.com
213,Meat extract ,70164-100G,sigmaaldrich.com
214,Menadione,460-007-G010,enzolifesciences.com
215,Mercaptoethanol,125470100,fishersci.com
216,MES hydrate,M8250-250G,sigmaaldrich.com
217,Methanol,A402-1,fishersci.com
218,Methionine,BP388-100,fishersci.com
